NCBI Protein ID	UniProt_ID
NP_006508.2	P36021
NP_006612.2	A0A024R0A8
NP_006651.2	A0A024R5X7
NP_006651.2	O76031
NP_001014811.1	Q6TCH8
NP_006671.2	Q6TCH8
NP_006703.1	A0A090N8Z7
NP_001103689.1	A0A024RDS4
NP_001103690.1	A0A024RDS4
NP_001103691.1	A0A024RDS4
NP_006774.2	A0A024RDS4
NP_001103689.1	O95452
NP_001103690.1	O95452
NP_001103691.1	O95452
NP_006774.2	O95452
NP_006784.1	A0A384MTR2
NP_006787.2	Q8TA92
NP_006787.2	Q9Y4W6
NP_006800.2	Q15785
NP_006821.1	O14957
NP_006825.1	Q13637
NP_006850.2	A0A024R9W0
NP_008817.1	P56381
NP_008872.1	A0A024R1N6
NP_008911.1	Q99551
NP_008927.1	A0A024R928
NP_008952.1	Q9NTK1
NP_008986.2	O14802
NP_009031.1	P56385
NP_009034.2	E5KNH5
NP_009035.3	P62906
NP_009120.1	A0A090N7X1
NP_009129.1	O94903
NP_009133.2	A0A0S2Z4Z7
NP_009133.2	O43572
NP_009139.1	P09001
NP_009146.2	E5KS15
NP_009146.2	Q9UHN1
NP_009151.1	A0A024RBW9
NP_009151.1	Q9Y2D0
NP_001116849.1	Q99497
NP_009193.2	Q99497
NP_001116849.1	V9HWC2
NP_009193.2	V9HWC2
NP_015557.2	A0A0S2Z4D2
NP_001265392.1	B4DYR6
NP_001265393.1	B4DYR6
NP_001265394.1	B4DYR6
NP_001265395.1	B4DYR6
NP_005681.2	B4DYR6
NP_036192.2	B4DYR6
NP_036193.2	B4DYR6
NP_036221.2	Q9NRK6
NP_036269.1	B2R644
NP_036272.2	A0A0S2Z382
NP_036277.2	Q6FGU2
NP_036292.2	Q9UKA2
NP_001257293.1	Q53H87
NP_001257294.1	Q53H87
NP_036322.2	Q53H87
NP_036335.1	A0A384N605
NP_036354.1	E5KP26
NP_036359.3	O43824
NP_036360.3	Q9Y3D2
NP_036413.1	A4D0V9
NP_036413.1	Q9NZV8
NP_001034672.1	A0A024R1J5
NP_001034673.1	A0A024R1J5
NP_036539.1	A0A024R1J5
NP_036588.1	P62072
NP_036590.1	Q9Y5L4
NP_036591.2	G3XAN8
NP_036591.2	Q9Y5J9
NP_036592.1	A0A024R648
NP_036592.1	Q9Y5J7
NP_036605.2	Q99757
NP_037370.2	Q9Y5T4
NP_037379.1	A0A384MDW9
NP_037415.1	A0A140VJP2
NP_037428.3	A0A024R0F8
NP_037428.3	P81274
NP_037460.2	A0A0S2Z5U6
NP_001258610.1	Q96C36
NP_037460.2	Q96C36
NP_037469.2	Q9Y584
NP_037471.2	Q9Y672
NP_037523.2	B3KQ84
NP_037525.1	Q9UI43
NP_037525.1	V9HWJ9
NP_039234.1	Q6FIC5
NP_039234.1	Q9Y696
NP_054706.1	B3KXA2
NP_054706.1	V9HWK2
NP_054737.1	A0A0S2Z563
NP_054737.1	Q9Y2Q9
NP_054765.1	B0S7P4
NP_054765.1	Q9Y676
NP_054768.2	Q9H845
NP_054786.2	Q9BQ69
NP_054797.2	Q9BYD1
NP_054861.2	Q9UKK9
NP_054880.2	Q9H0U6
NP_054884.1	Q9P032
NP_001280115.1	Q9NRN9
NP_001280116.1	Q9NRN9
NP_054887.2	Q9NRN9
NP_054889.2	Q9P025
NP_054894.1	Q9P015
NP_055037.1	P51970
NP_055049.1	A0A1U9X7U3
NP_055049.1	Q92506
NP_055067.1	Q9Y619
NP_001119807.1	P82251
NP_055085.1	P82251
NP_055106.1	A8K228
NP_055112.2	A0A0S2Z5B3
NP_055116.1	A0A024RBI3
NP_055151.3	F1T0B6
NP_055153.1	A0A024R1K5
NP_055156.1	A0A024RD08
NP_055157.1	Q9Y6C9
NP_055177.2	A0A140VJL0
NP_055205.2	A0A140VK49
NP_055205.2	Q7KZF4
NP_055209.2	Q9H3K2
NP_055217.2	O14949
NP_055296.2	E5KN95
NP_055296.2	Q9UBZ4
NP_055324.2	A0A140VK89
NP_055410.1	V9HWF3
NP_055452.3	A0A024R7W1
NP_055470.1	Q96H78
NP_055502.1	Q8N4U6
NP_055578.2	P49406
NP_055580.1	A0A024R3W2
NP_055580.1	Q15388
NP_055635.3	O94826
NP_055661.3	Q12768
NP_055723.1	A0A0S2Z597
NP_055723.1	Q9UPQ8
NP_001129665.1	A0A024R3X5
NP_001129666.1	A0A024R3X5
NP_055744.2	A0A024R3X5
NP_055761.2	E5KRP5
NP_055899.2	A0A024RAJ1
NP_001135766.1	A0A024RDV9
NP_001135767.1	A0A024RDV9
NP_001135768.1	A0A024RDV9
NP_055902.1	A0A024RDV9
NP_001135766.1	Q8N0X7
NP_001135767.1	Q8N0X7
NP_001135768.1	Q8N0X7
NP_055902.1	Q8N0X7
NP_001192176.1	B4DFW3
NP_056071.2	B4DFW3
NP_056157.1	A0A384MTS1
NP_056161.2	Q68DK2
NP_056195.3	Q9Y512
NP_056219.3	B9EGE6
NP_056231.3	A0A384P5D7
NP_056284.1	Q9UFN0
NP_056285.1	Q9BXF6
NP_056285.1	Q9UFM0
NP_056289.2	Q59H15
NP_056303.3	A0A024R415
NP_056321.2	Q9Y4U1
NP_056325.2	Q6IAN0
NP_056343.1	Q9H6Y7
NP_056360.2	A4D273
NP_056360.2	O75127
NP_056399.1	Q9Y2S7
NP_056494.1	A0A024R886
NP_001003803.1	Q99766
NP_001003805.1	Q99766
NP_056499.2	Q99766
NP_056517.1	Q9H3L0
NP_001242936.1	A0A024R746
NP_001242937.1	A0A024R746
NP_056538.1	A0A024R746
NP_056997.1	O95881
NP_056999.2	A0A0S2Z5B0
NP_057001.1	Q6FII1
NP_057034.2	Q5T653
NP_057044.2	Q9NTM9
NP_057053.1	Q9Y2R5
NP_057055.2	A0A024R8L0
NP_057055.2	Q9Y2R9
NP_057071.2	A0A024RAS8
NP_057071.2	Q9NRV9
NP_057086.2	A0A384NPM7
NP_057086.2	Q8NBX0
NP_057090.2	A0A0S2Z5D6
NP_057090.2	Q8WTS1
NP_057097.2	A0A024R9L0
NP_057097.2	Q9Y375
NP_057104.2	E5KTM5
NP_057104.2	Q8WVM0
NP_057110.3	A0A0S2Z583
NP_057111.1	A0A024R811
NP_057111.1	Q53H82
NP_057118.1	Q9Y399
NP_057128.2	A0A024RE24
NP_057128.2	Q96GK7
NP_001269535.1	Q9HC24
NP_001269538.1	Q9HC24
NP_001269539.1	Q9HC24
NP_057140.2	Q9HC24
NP_057147.2	A0A140VJK7
NP_057151.1	Q9Y3D5
NP_057152.2	Q9Y3D6
NP_057154.2	Q9Y3D9
NP_057158.1	Q9Y3E2
NP_057161.1	Q9Y3E5
NP_057182.1	Q9Y5U8
NP_057223.1	Q9Y6H1
NP_057238.3	A0A024R0K8
NP_057257.1	A0A140VK98
NP_057257.1	B2RA37
NP_057257.1	Q9Y5R4
NP_057327.2	Q9UHQ9
NP_001186781.1	Q7Z4Y4
NP_001186782.1	Q7Z4Y4
NP_001186784.1	Q7Z4Y4
NP_001186785.1	Q7Z4Y4
NP_057366.2	Q7Z4Y4
NP_057370.1	A0A384NY14
NP_001182147.1	Q7Z4W1
NP_057370.1	Q7Z4W1
NP_057376.2	A0A140VJY2
NP_001182155.1	O43272
NP_057419.4	O43272
NP_057444.2	Q9BSH4
NP_057457.1	A0A411HBC7
NP_057483.1	O43715
NP_057501.2	A0A384MDT9
NP_057501.2	Q86SX6
NP_001158730.1	A0A024R001
NP_057546.1	A0A024R001
NP_001158730.1	Q9P0S9
NP_057546.1	Q9P0S9
NP_001135940.1	Q9P0P8
NP_001135942.1	Q9P0P8
NP_057571.1	Q9P0P8
NP_057575.2	Q9BZE1
NP_057581.2	Q4U2R6
NP_057588.1	Q9P0M9
NP_057614.1	Q92930
NP_057649.2	A0A024R5J6
NP_057673.2	Q9NPL8
NP_057696.2	Q71JB2
NP_057724.2	Q9NP92
NP_058213.1	E5KPN0
NP_058214.1	E5KPM5
NP_058434.1	E5KPM6
NP_058436.1	E5KPM8
NP_058437.1	E5KPM7
NP_058438.1	E5KPM9
NP_058518.1	A0A024R9Y0
NP_058519.3	A0A024R9Y1
NP_059117.3	Q9NZJ6
NP_060116.2	Q3T7C7
NP_060116.2	Q53F11
NP_001129507.1	A0A024R7I5
NP_060192.1	A0A024R7I5
NP_001258691.1	A0A024R6Z7
NP_060273.1	A0A024R6Z7
NP_001258691.1	Q9NX74
NP_001258692.1	Q9NX74
NP_060273.1	Q9NX74
NP_060282.1	A4D1N4
NP_060282.1	Q9NX63
NP_060289.2	Q7L0Y3
NP_060294.1	Q9NX47
NP_001073308.1	A0A024R9U3
NP_060300.1	A0A024R9U3
NP_001035282.1	Q9NX36
NP_060303.2	Q9NX36
NP_060310.1	Q9NX20
NP_060311.1	Q9NX18
NP_060324.1	Q9NX00
NP_060342.2	Q9NWX6
NP_060345.2	A1LP07
NP_060345.2	Q96DW6
NP_060352.1	A0A024R601
NP_001120701.1	Q9NWT8
NP_001120702.1	Q9NWT8
NP_060370.1	Q9NWT8
NP_060380.3	Q9BVS5
NP_060388.2	Q9NWR8
NP_060500.3	Q6GSK5
NP_060530.3	Q9NSE4
NP_060546.2	A0A140VKF7
NP_060546.2	B7Z7Y0
NP_060552.4	Q7Z3R8
NP_060592.2	Q6PI48
NP_060592.2	Q9H9J7
NP_060597.4	A0A0S2Z5M8
NP_060599.1	V9HW45
NP_060611.2	A0A024RD03
NP_060611.2	P82664
NP_060616.1	Q9HC36
NP_060663.2	B3KNW8
NP_060708.1	A4D1U5
NP_060809.3	B2RDZ2
NP_060809.3	Q969G6
NP_060831.2	A0A024R640
NP_060831.2	Q9NUQ2
NP_060843.2	A0A024R670
NP_060843.2	P57105
NP_060846.2	Q71RE8
NP_060846.2	Q9BS92
NP_060850.2	Q9NUL7
NP_060859.4	B3KQH0
NP_060867.2	Q8NE62
NP_060888.2	V9HVY9
NP_001155253.1	A0A024R9C0
NP_060914.2	A0A024R9C0
NP_061133.1	Q9NR77
NP_061176.3	Q96HY7
NP_061184.1	Q8WTW3
NP_061331.2	Q8TBP6
NP_061820.1	G4XXL9
NP_061820.1	P99999
NP_061846.2	A0A140VJI4
NP_061903.2	Q7Z478
NP_061932.1	Q75MR5
NP_061932.1	Q9P0U1
NP_001093095.1	A0A0S2Z5H6
NP_001093096.1	A0A0S2Z5H6
NP_062457.3	A0A0S2Z5H6
NP_063940.1	A0A0S2Z5U7
NP_064527.1	A0A024RB39
NP_064527.1	Q9NRX3
NP_064536.2	Q9NQZ5
NP_064551.3	A0A0S2Z693
NP_064551.3	Q96RQ3
NP_064571.1	Q9NRP4
NP_064573.1	Q9NRP2
NP_001277221.1	Q86TZ5
NP_001277222.1	Q86TZ5
NP_064580.2	Q86TZ5
NP_064586.1	Q9NPB1
NP_064587.1	Q9NQR4
NP_064587.1	V9HW91
NP_064621.3	Q9BYD6
NP_064628.1	Q549C5
NP_064628.1	Q9NS69
NP_064695.3	O60218
NP_064708.1	A0A024R6U3
NP_064716.2	Q5T160
NP_065087.1	Q9NQZ7
NP_001158313.1	Q9HD34
NP_065141.3	Q9HD34
NP_065168.2	A0A654IBV7
NP_065168.2	Q5T442
NP_065175.4	B4DG77
NP_001161205.1	B4E0K6
NP_065175.4	B4E0K6
NP_065199.1	Q9NU23
NP_001171513.1	A0A024RAF2
NP_001269562.1	A0A024RAF2
NP_001269563.1	A0A024RAF2
NP_001269564.1	A0A024RAF2
NP_065438.1	A0A024RAF2
NP_000654.2	P80404
NP_001120920.1	P80404
NP_065737.2	P80404
NP_000654.2	X5D8S1
NP_001120920.1	X5D8S1
NP_065737.2	X5D8S1
NP_065777.1	Q9BYT8
NP_065796.1	Q5JTZ9
NP_065817.2	B3KU71
NP_065837.1	Q9P2J9
NP_065907.2	Q63HK5
NP_065956.1	Q53RX3
NP_065956.1	Q9HBH5
NP_001231878.1	Q86T70
NP_065969.3	Q86T70
NP_066124.1	A0A024R7T2
NP_001136401.1	D3DX95
NP_001136406.1	D3DX95
NP_066264.3	D3DX95
NP_066265.3	D3DX95
NP_066266.3	D3DX95
NP_066266.3	Q6LEN5
NP_066265.3	Q6LEN6
NP_066266.3	Q6LEN6
NP_066552.2	P19404
NP_001185918.1	Q53FP3
NP_066923.3	Q53FP3
NP_066950.1	A0A0S2Z490
NP_066957.3	A0A024RCB2
NP_066957.3	Q16540
NP_066990.3	Q8WUU5
NP_001258142.1	A0A024R5X2
NP_067022.1	A0A024R5X2
NP_001258142.1	Q9Y6N5
NP_067022.1	Q9Y6N5
NP_001137139.1	Q49AG3
NP_067034.2	Q49AG3
NP_067055.1	Q9UF12
NP_067653.3	Q9HB07
NP_001119593.1	Q5JPC1
NP_001119594.1	Q5JPC1
NP_068380.3	Q5JPC1
NP_001135827.1	A0A024R3V5
NP_068596.2	A0A024R3V5
NP_068598.1	Q7L8L6
NP_068602.2	E5KSY5
NP_001157284.1	Q9H6V3
NP_001157285.1	Q9H6V3
NP_001157286.1	Q9H6V3
NP_068602.2	Q9H6V3
NP_068605.1	P25874
NP_068746.2	Q8N442
NP_068758.3	A0A024R1W3
NP_068758.3	Q658U4
NP_068758.3	Q8NAG5
NP_068776.2	P54840
NP_071344.1	Q9NRX2
NP_071355.1	Q9H649
NP_071383.1	O60783
NP_071407.4	Q6P152
NP_071413.1	Q9H4A6
NP_071415.1	A0A140VK29
NP_071446.2	Q9H2W6
NP_071736.1	A0A024R6Y3
NP_071736.1	Q9HBH1
NP_071761.1	Q9H5Q4
NP_072045.1	P62269
NP_073563.1	Q9GZR5
NP_073582.3	I3L448
NP_073591.2	Q9H9B4
NP_073603.2	A0A024R4U8
NP_073624.2	A0A024R4E1
NP_073624.2	Q9HAN9
NP_075066.1	A1MA90
NP_075066.1	Q9H9J2
NP_075565.2	Q96BR5
NP_076423.2	Q9BWH2
NP_076425.1	P82930
NP_076426.1	A0A024R7J4
NP_076426.1	Q9BQ48
NP_076872.1	A0A654ICK0
NP_076872.1	O75712
NP_076931.1	A0A024RDM4
NP_076931.1	Q9BQC6
NP_001234940.1	Q96KB3
NP_076952.1	Q96KB3
NP_076980.2	A0A024R4N9
NP_076980.2	Q9BSV6
NP_076984.2	A0A024R5K5
NP_077010.1	A0A024R4V6
NP_077010.1	Q9BV10
NP_077718.3	Q7LD69
NP_077733.3	A0A024R8V5
NP_078796.2	A0A024R3U8
NP_078796.2	Q8WWC4
NP_078813.1	B7Z7E6
NP_078813.1	Q9HA77
NP_078846.2	Q8N451
NP_078969.2	A0A140VKF9
NP_001177989.1	Q9H936
NP_001177990.1	Q9H936
NP_078974.1	Q9H936
NP_001180240.1	Q9HAC7
NP_001180241.1	Q9HAC7
NP_001180242.1	Q9HAC7
NP_079004.1	Q9HAC7
NP_079030.3	A0A024RAM6
NP_079034.3	A0A024QZ74
NP_079034.3	Q9BSE5
NP_079046.2	A8K7U3
NP_079046.2	B3KW44
NP_079046.2	B4DLT0
NP_079114.3	Q9H6P9
NP_079272.4	E5KND5
NP_079390.3	O15078
NP_079390.3	Q05BJ6
NP_079428.2	X5D2R5
NP_079472.1	Q9HAV7
NP_001028222.1	A0A024RBL7
NP_079474.2	A0A024RBL7
NP_001028222.1	Q49AM1
NP_079474.2	Q49AM1
NP_079491.2	E5KMT5
NP_079519.1	Q9BZV2
NP_079541.1	A0A024R2G3
NP_001098668.1	Q53S58
NP_001098669.1	Q53S58
NP_085054.2	Q53S58
NP_085056.2	O43169
NP_110383.2	Q6FHW4
NP_110404.1	O95528
NP_110407.2	Q9H2D1
NP_110438.1	Q9BYN8
NP_110440.1	A0A140VK11
NP_112233.2	A0A1P0AYU5
NP_112233.2	Q9BWM7
NP_112243.1	Q9H0U4
NP_112486.1	Q71RF8
NP_001291438.1	Q9BSH5
NP_001291439.1	Q9BSH5
NP_001291440.1	Q9BSH5
NP_112496.1	Q9BSH5
NP_112570.2	P82914
NP_112581.1	Q9H0C2
NP_113608.1	Q9BYD2
NP_001139523.1	I6L975
NP_113651.4	I6L975
NP_113669.1	A0A024R0W0
NP_113669.1	Q9H1K4
NP_061870.1	P82921
NP_114107.1	P82921
NP_061870.1	Q99768
NP_114107.1	Q99768
NP_114109.1	A4D1V4
NP_114109.1	Q9BYC8
NP_114153.1	Q9BXI2
NP_114403.1	Q96EL2
NP_115487.2	A0A024RD78
NP_115487.2	Q6P1L8
NP_115488.2	A8K4V4
NP_115527.3	Q9H0N5
NP_115569.2	A0A024R5B3
NP_115569.2	Q8TDP1
NP_115682.1	Q9BT30
NP_115685.1	A0A2U9EWT9
NP_115690.3	Q5HYK3
NP_115691.1	Q9BSK2
NP_115692.1	B2R7Q3
NP_115719.1	Q9BRQ6
NP_115750.2	Q96IL0
NP_115756.2	A0A024RAK1
NP_115758.3	A0A024R6Z6
NP_115758.3	Q96MW5
NP_115865.1	P82932
NP_115866.1	Q8IXM3
NP_115868.1	Q9P0J6
NP_115982.1	Q9BX68
NP_115990.3	Q96PE7
NP_115998.2	H6SG14
NP_115998.2	Q96KJ9
NP_116012.2	Q8TDB4
NP_001193355.1	Q96IX5
NP_001193356.1	Q96IX5
NP_116136.1	Q96IX5
NP_001244062.1	Q96I36
NP_001244063.1	Q96I36
NP_116290.1	Q96I36
NP_116295.1	Q96I23
NP_004313.1	A0A024R562
NP_116784.1	A0A024R562
NP_004313.1	Q92934
NP_116784.1	Q92934
NP_148936.2	A0A090N8I0
NP_149078.1	A0A024R184
NP_149100.2	Q8TCS8
NP_149972.1	A0A140VJM9
NP_149972.1	Q9BYZ2
NP_149991.2	A0A140VKG0
NP_149991.2	Q14410
NP_150597.1	P82909
NP_201576.1	A0A024R8Z8
NP_001225.1	P56539
NP_203123.1	P56539
NP_001073593.1	A0A024R3Z8
NP_203520.1	A0A024R3Z8
NP_203524.1	I1SRC5
NP_203524.1	L7RSL8
NP_066930.1	A0A024R0H2
NP_203526.1	A0A024R0H2
NP_203527.1	A0A024R0H2
NP_066930.1	O15235
NP_203526.1	O15235
NP_203527.1	O15235
NP_277032.1	A0A024QZK7
NP_277033.1	A0A024QZK7
NP_000179.2	B3KXY9
NP_277031.1	B3KXY9
NP_277032.1	B3KXY9
NP_277033.1	B3KXY9
NP_277035.2	B3KXY9
NP_277033.1	P78542
NP_277035.2	P78542
NP_000986.2	A1LUY1
NP_296374.1	A1LUY1
NP_000986.2	P49207
NP_296374.1	P49207
NP_443077.1	Q96EY8
NP_443082.2	Q8TAE8
NP_443085.2	A4D1T6
NP_443085.2	Q7Z695
NP_443091.1	Q96AA3
NP_443097.1	Q9BQP7
NP_443195.1	E5KMK7
NP_057155.1	A4D1T3
NP_444263.1	A4D1T3
NP_444263.1	Q3KRB4
NP_057155.1	Q9Y291
NP_444263.1	Q9Y291
NP_444278.1	Q96EL3
NP_444283.2	A8K0C9
NP_444283.2	Q5T1C6
NP_000041.2	P00966
NP_446464.1	P00966
NP_000041.2	Q5T6L4
NP_446464.1	Q5T6L4
NP_477352.3	B4DYG5
NP_477352.3	Q4LE69
NP_542164.2	B0YJ56
NP_542164.2	B3KU11
NP_542410.2	H0YIS1
NP_542779.2	Q3KR05
NP_543011.2	Q96KR6
NP_550433.1	E5KTA5
NP_550438.1	E5KSL5
NP_550440.1	E5KSL6
NP_001026847.1	Q969Q5
NP_570137.2	Q969Q5
NP_570845.1	E5KLK0
NP_570848.1	E5KLJ9
NP_570972.2	Q8TF08
NP_573566.2	E5KNY5
NP_573566.2	P42704
NP_573568.1	Q8TF64
NP_597700.1	A0A024R6R2
NP_001122327.1	B7Z563
NP_001182351.1	B7Z563
NP_598399.2	B7Z563
NP_612211.1	A0A024R1P3
NP_612367.1	Q9BSF4
NP_612390.1	Q96HP4
NP_612404.1	Q96GW9
NP_612418.2	Q96G30
NP_001139443.1	B3KVA3
NP_612421.1	B3KVA3
NP_612455.1	Q96EH3
NP_612457.1	A0A140VJD7
NP_612457.1	P14621
NP_001129522.1	Q96LJ7
NP_612461.1	Q96LJ7
NP_612638.3	Q9NQE9
NP_619636.2	Q8TDI8
NP_620175.1	A0A024R7Q3
NP_620175.1	Q9BW72
NP_001265231.1	Q502X2
NP_001265233.1	Q502X2
NP_620308.1	Q502X2
NP_620689.1	Q96QS3
NP_644812.1	Q8NI37
NP_652763.1	O95500
NP_653164.2	P49247
NP_653168.2	Q96AL9
NP_653180.1	Q8TD22
NP_653190.2	Q86VU5
NP_653213.6	B7Z7T7
NP_653213.6	F5GZB4
NP_653213.6	Q8IVV2
NP_653214.2	Q6YFQ2
NP_653237.1	A0A024R2F8
NP_653307.1	B2RAC6
NP_653307.1	Q8WU43
NP_660160.2	Q8N5I4
NP_001191759.1	Q9Y234
NP_057013.1	Q9Y234
NP_660198.1	Q9Y234
NP_660199.1	Q9Y234
NP_660200.1	Q9Y234
NP_660304.1	A0A0S2Z5X1
NP_660305.2	A1LQE8
NP_660308.1	Q96BQ5
NP_660310.2	Q5VUM1
NP_660320.3	A8K466
NP_660358.2	Q8WV93
NP_663729.1	Q8N5M1
NP_078816.2	Q96A35
NP_663781.1	Q96A35
NP_001247440.1	A0A024RAX2
NP_064696.1	A0A024RAX2
NP_665707.1	A0A024RAX2
NP_665734.1	A0A024RAX2
NP_665735.1	A0A024RAX2
NP_665741.1	Q8WXP9
NP_665877.1	A0A0C4DFM0
NP_665878.2	A0A0A0MR33
NP_665877.1	O43708
NP_665878.2	O43708
NP_057040.2	A0A024R7C5
NP_666499.1	A0A024R7C5
NP_001152.1	P50583
NP_001231319.1	P50583
NP_671701.1	P50583
NP_671702.1	P50583
NP_671729.2	Q8NEW7
NP_001268370.1	Q96I51
NP_110425.2	Q96I51
NP_683682.1	Q96I51
NP_683725.1	A0A384ME44
NP_001138607.1	A0A024R4W7
NP_001138609.1	A0A024R4W7
NP_004368.1	A0A024R4W7
NP_689451.1	A0A024R4W7
NP_689452.1	A0A024R4W7
NP_689481.2	Q7L3T8
NP_689656.2	A0A0S2Z613
NP_689656.2	Q96NR8
NP_689914.3	A0A0A0MT16
NP_689914.3	Q86UQ4
NP_689920.1	P16260
NP_689953.1	A0A024RA75
NP_689953.1	P31937
NP_689996.4	B4E3K7
NP_001159733.1	Q9H2K0
NP_001159734.1	Q9H2K0
NP_001159735.1	Q9H2K0
NP_690876.3	Q9H2K0
NP_694551.1	Q8N159
NP_001274269.1	A0A024R048
NP_694558.1	A0A024R048
NP_001274270.1	B7Z8V7
NP_694558.1	B7Z8V7
NP_694944.1	A0A654IBS8
NP_694944.1	Q9NTQ9
NP_699188.1	Q8NCK7
NP_001163894.1	Q8N3Z0
NP_699193.2	Q8N3Z0
NP_705831.1	A0A0S2Z652
NP_705831.1	P83436
NP_710156.3	Q8N8R5
NP_714941.1	A0A024QZF1
NP_714941.1	P37198
NP_714963.1	Q86TM7
NP_008838.2	Q8TBX0
NP_722546.1	Q8TBX0
NP_733792.1	A0A024RAJ7
NP_733821.1	A0A384MQX1
NP_003739.2	A0A024RAC7
NP_733844.1	A0A024RAC7
NP_733936.1	X5D299
NP_741999.3	A0A384NYJ4
NP_741999.3	Q8IWL3
NP_742057.1	Q99502
NP_742107.1	Q53Y30
NP_054769.1	A0A024RBG3
NP_751917.1	A0A024RBG3
NP_054769.1	Q9Y6G3
NP_751917.1	Q9Y6G3
NP_758454.1	Q8IVH4
NP_758455.1	Q6P161
NP_775111.1	A0A0S2Z3E1
NP_775748.2	Q495M9
NP_775771.3	Q8IWY7
NP_776155.1	Q8IVP5
NP_777358.1	O15384
NP_777549.1	A0A0S2Z5U1
NP_777549.1	Q8N183
NP_001120686.1	Q4G176
NP_001230208.1	Q4G176
NP_777577.2	Q4G176
NP_777582.4	Q3MIX3
NP_001278921.1	A0A140VKB6
NP_777587.1	A0A140VKB6
NP_001278921.1	Q7Z5L4
NP_777587.1	Q7Z5L4
NP_001137474.1	A0A024RC00
NP_062831.3	A0A024RC00
NP_787055.1	A0A024RC00
NP_001137474.1	Q9NRF8
NP_062831.3	Q9NRF8
NP_787055.1	Q9NRF8
NP_787071.2	Q8N196
NP_787103.1	Q4G1C4
NP_789776.1	O96033
NP_789788.1	O43716
NP_803431.1	Q8N4E7
NP_065074.1	B0AZM9
NP_817127.1	B0AZM9
NP_065074.1	Q9P286
NP_817127.1	Q9P286
NP_001186976.1	Q49AL4
NP_835471.1	Q49AL4
NP_848621.2	Q8NHH2
NP_849189.1	Q96NB2
NP_851828.1	A0A0S2Z4E6
NP_851829.1	A0A0S2Z4K9
NP_851830.1	A0A0S2Z4F4
NP_852616.1	A0A024R5G7
NP_001121185.1	A0A0S2Z5A2
NP_853629.2	A0A0S2Z5A2
NP_001121185.1	Q53F53
NP_056999.2	Q53F53
NP_853629.2	Q53F53
NP_001189360.1	A0A384NPQ2
NP_002565.1	A0A384NPQ2
NP_859047.1	A0A384NPQ2
NP_859048.1	A0A384NPQ2
NP_001189360.1	Q06830
NP_002565.1	Q06830
NP_859047.1	Q06830
NP_859048.1	Q06830
NP_859056.2	Q5U5X0
NP_859065.2	A0A384MDJ7
NP_859065.2	Q86VQ0
NP_872307.2	Q7Z6M4
NP_872329.1	Q7Z7K0
NP_872354.1	Q8TAF8
NP_872384.1	Q8N1Q8
NP_872578.1	P82933
NP_057312.1	Q4W5N8
NP_872603.1	Q4W5N8
NP_886552.2	A0A024R2H7
NP_891980.1	A0A0S2Z3W1
NP_892016.1	Q7Z4L0
NP_036475.3	A0A024R0C3
NP_892022.2	A0A024R0C3
NP_036475.3	Q13423
NP_892022.2	Q13423
NP_000047.1	A0A140VKB3
NP_898871.1	A0A140VKB3
NP_898882.1	Q7Z3Z2
NP_919267.2	Q6PI78
NP_115789.1	A0A024R5U4
NP_922946.1	A0A024R5U4
NP_115789.1	Q9C002
NP_922946.1	Q9C002
NP_001231498.1	B2ZP79
NP_001231499.1	B2ZP79
NP_001231501.1	B2ZP79
NP_932071.1	B2ZP79
NP_001187.1	B3KT21
NP_001231496.1	B3KT21
NP_001231498.1	B3KT21
NP_001231499.1	B3KT21
NP_001231501.1	B3KT21
NP_932070.1	B3KT21
NP_932071.1	B3KT21
NP_932155.1	Q8NG26
NP_932158.1	B4DG76
NP_932342.1	B3KM21
NP_940980.3	Q17RV3
NP_940980.3	Q5S007
NP_942127.1	A0A024R1Y2
NP_942135.1	A0A024R0Y2
NP_942134.1	Q7Z5W8
NP_942135.1	Q7Z5W8
NP_942559.1	A1LQZ3
NP_942559.1	Q7Z3G6
NP_001243264.1	A6NHH0
NP_945176.1	A6NHH0
NP_079348.1	B3KPZ2
NP_945176.1	B3KPZ2
NP_945176.1	B4DWP1
NP_001243264.1	Q9H7Z7
NP_079348.1	Q9H7Z7
NP_945176.1	Q9H7Z7
NP_951032.1	Q9Y3Z0
NP_951033.1	Q9Y3Z0
NP_951033.1	A4FU71
NP_951047.1	A4FU71
NP_951056.1	A4FU71
NP_954573.1	B3KM73
NP_000679.1	Q5JAM2
NP_954635.1	Q5JAM2
NP_955468.1	E5KRP6
NP_002147.2	A0A024R3X4
NP_955472.1	A0A024R3X4
NP_955772.1	A0A0S2Z4D4
NP_000524.3	A8K9L3
NP_001122306.1	A8K9L3
NP_955772.1	A8K9L3
NP_000572.2	Q7L4Q3
NP_958799.1	Q7L4Q3
NP_964011.2	A0A384P5E3
NP_976043.1	Q96BP2
NP_004042.1	A0A384MTY4
NP_976059.1	A0A384MTY4
NP_976060.1	A0A384MTY4
NP_004042.1	Q02338
NP_976059.1	Q02338
NP_976060.1	Q02338
NP_000158.1	B4DH54
NP_001121599.1	B4DH54
NP_001191948.1	B4DH54
NP_976325.1	B4DH54
NP_001005353.1	P27144
NP_037542.1	P27144
NP_982289.1	P27144
NP_997227.1	Q8WW59
NP_997231.1	Q6PIV7
NP_055116.1	B3KQ30
NP_998760.1	B3KQ30
NP_002626.1	A0A024RBE8
NP_998776.1	A0A024RBE8
